symbol	address	ref_from	ref_type	function	function_entry
XIAPI64.DLL::xiSetParamInt	EXTERNAL:00000266	1400228f7	COMPUTED_CALL	FUN_1400227d0	1400227d0
XIAPI64.DLL::xiGetParamFloat	EXTERNAL:00000267	1400437b0	DATA		
XIAPI64.DLL::xiGetParamFloat	EXTERNAL:00000267	140021d19	COMPUTED_CALL	FUN_140021cc0	140021cc0
XIAPI64.DLL::xiGetParamFloat	EXTERNAL:00000267	140021d32	COMPUTED_CALL	FUN_140021cc0	140021cc0
XIAPI64.DLL::xiGetParamFloat	EXTERNAL:00000267	140021d4b	COMPUTED_CALL	FUN_140021cc0	140021cc0
IPHLPAPI.DLL::IcmpSendEcho	EXTERNAL:00000268	1400420e8	DATA		
IPHLPAPI.DLL::IcmpSendEcho	EXTERNAL:00000268	140039b12	COMPUTED_JUMP	IcmpSendEcho	140039b12
IPHLPAPI.DLL::IcmpCloseHandle	EXTERNAL:00000269	1400420f0	DATA		
IPHLPAPI.DLL::IcmpCloseHandle	EXTERNAL:00000269	140039b0c	COMPUTED_JUMP	IcmpCloseHandle	140039b0c
IPHLPAPI.DLL::IcmpCreateFile	EXTERNAL:0000026a	1400420f8	DATA		
IPHLPAPI.DLL::IcmpCreateFile	EXTERNAL:0000026a	140039b06	COMPUTED_JUMP	IcmpCreateFile	140039b06
IPHLPAPI.DLL::SendARP	EXTERNAL:0000026b	140042100	DATA		
IPHLPAPI.DLL::SendARP	EXTERNAL:0000026b	140039b00	COMPUTED_JUMP	SendARP	140039b00
IPHLPAPI.DLL::GetAdaptersInfo	EXTERNAL:0000026c	140042108	DATA		
IPHLPAPI.DLL::GetAdaptersInfo	EXTERNAL:0000026c	140039afa	COMPUTED_JUMP	GetAdaptersInfo	140039afa
WS2_32.DLL::inet_pton	EXTERNAL:000002c4	140042748	DATA		
WS2_32.DLL::inet_pton	EXTERNAL:000002c4	140020022	COMPUTED_CALL	FUN_14001ffa0	14001ffa0
WS2_32.DLL::inet_pton	EXTERNAL:000002c4	140020039	COMPUTED_CALL	FUN_14001ffa0	14001ffa0
WS2_32.DLL::inet_pton	EXTERNAL:000002c4	14002b6f0	COMPUTED_CALL	FUN_14002b650	14002b650
WS2_32.DLL::socket	EXTERNAL:000002c5	140042750	DATA		
WS2_32.DLL::socket	EXTERNAL:000002c5	14001fff0	COMPUTED_CALL	FUN_14001ffa0	14001ffa0
WS2_32.DLL::socket	EXTERNAL:000002c5	14002017c	COMPUTED_CALL	FUN_140020110	140020110
WS2_32.DLL::sendto	EXTERNAL:000002c6	140042758	DATA		
WS2_32.DLL::sendto	EXTERNAL:000002c6	14002008f	COMPUTED_CALL	FUN_14001ffa0	14001ffa0
WS2_32.DLL::recvfrom	EXTERNAL:000002c7	140042760	DATA		
WS2_32.DLL::recvfrom	EXTERNAL:000002c7	14002021a	COMPUTED_CALL	FUN_140020110	140020110
WS2_32.DLL::htons	EXTERNAL:000002c8	140042768	DATA		
WS2_32.DLL::htons	EXTERNAL:000002c8	14002000c	COMPUTED_CALL	FUN_14001ffa0	14001ffa0
WS2_32.DLL::htons	EXTERNAL:000002c8	140020aeb	COMPUTED_CALL	FUN_140020a80	140020a80
WS2_32.DLL::htons	EXTERNAL:000002c8	140020c17	COMPUTED_CALL	FUN_140020ba0	140020ba0
WS2_32.DLL::htons	EXTERNAL:000002c8	140020c2a	COMPUTED_CALL	FUN_140020ba0	140020ba0
